SAMPLE,Recvd Wt.,Au,Ag,Al,As,B,Ba,Be,Bi,Ca,Cd,Ce,Co,Cr,Cs,Cu,Fe,Ga,Ge,Hf,Hg,In,K,La,Li,Mg,Mn,Mo,Na,Nb,Ni,P,Pb,Rb,Re,S,Sb,Sc,Se,Sn,Sr,Ta,Te,Th,Ti,Tl,U,V,W,Y,Zn,Zr,foldername,filename,Au_2
PN0000996405,0.20,0.012,0.09,1.44,69.7,<10,100,0.47,0.14,2.90,0.13,22.4,10.0,18,0.91,41.6,2.82,3.71,0.06,0.05,0.05,0.023,0.21,10.9,13.3,0.54,707,0.65,0.01,0.28,13.1,280,7.5,10.7,<0.001,0.01,2.10,3.3,0.4,0.4,35.9,<0.01,0.07,1.3,0.010,0.08,0.30,27,0.09,6.92,84,1.2,Soil Certificates,TU22075012.csv,
PN0000996406,0.21,0.039,0.14,1.20,171.5,10,90,0.42,0.19,1.89,0.16,23.3,7.7,17,0.84,42.2,2.78,3.34,0.06,0.03,0.07,0.027,0.26,11.4,9.8,0.41,771,0.88,0.01,0.52,11.5,340,10.9,12.3,<0.001,0.02,2.13,3.3,0.5,0.4,45.2,<0.01,0.06,1.6,0.015,0.09,0.34,25,0.10,6.18,96,1.1,Soil Certificates,TU22075012.csv,
PN0000996407,0.24,0.091,0.10,1.56,18.4,<10,110,0.53,0.19,0.40,0.09,27.1,8.2,20,0.88,37.4,3.74,4.94,0.08,0.06,0.05,0.026,0.18,15.2,10.7,0.46,822,0.76,0.01,0.25,13.1,200,8.1,11.5,<0.001,0.01,1.30,4.5,0.3,0.5,36.1,<0.01,0.09,4.3,0.014,0.09,0.47,29,0.10,9.21,67,2.4,Soil Certificates,TU22075012.csv,
PN0000996408,0.19,0.006,0.09,1.96,5.2,10,80,0.36,0.16,4.91,0.15,17.60,14.9,26,0.86,81.1,3.78,4.88,0.07,0.06,0.05,0.021,0.20,8.3,20.0,1.28,707,0.39,0.01,0.45,18.5,410,7.5,10.7,<0.001,0.02,0.83,5.6,0.4,0.3,73.2,<0.01,0.07,1.3,0.014,0.07,0.25,44,0.10,5.12,61,1.4,Soil Certificates,TU22075012.csv,
PN0000996409,0.21,0.016,0.10,1.49,78.5,<10,100,0.53,0.07,11.40,0.14,18.00,27.4,137,0.94,52.9,3.29,4.57,0.06,0.10,0.08,0.026,0.11,9.0,13.3,1.59,576,0.56,0.01,0.27,163.5,530,4.6,5.9,<0.001,0.02,5.45,5.7,0.6,0.3,210,<0.01,0.10,0.9,0.008,0.05,0.33,48,0.06,6.77,50,2.4,Soil Certificates,TU22075012.csv,
PN0000996410,0.17,0.098,0.07,1.63,186.5,<10,60,0.40,0.12,7.10,0.16,17.15,29.1,100,0.80,53.8,3.69,4.74,0.06,0.04,0.05,0.026,0.14,8.0,16.7,1.01,780,0.66,0.01,0.41,99.3,310,7.9,9.4,<0.001,0.02,6.17,5.3,0.7,0.3,71.1,<0.01,0.10,1.3,0.012,0.07,0.31,41,0.08,5.26,60,1.1,Soil Certificates,TU22075012.csv,
PN0000996411,0.20,0.179,0.06,1.50,175.0,<10,60,0.33,0.10,10.85,0.44,11.05,28.8,80,0.81,61.9,3.71,4.47,0.06,0.05,0.09,0.026,0.11,5.3,15.1,1.30,787,0.68,0.01,0.28,113.0,380,9.4,6.2,<0.001,0.02,4.98,5.4,0.6,0.2,149.5,<0.01,0.11,1.1,0.010,0.05,0.23,38,0.09,4.59,61,1.4,Soil Certificates,TU22075012.csv,
PN0000996412,0.20,0.006,0.08,1.87,43.3,<10,90,0.43,0.13,3.11,0.11,19.80,12.4,32,0.54,52.2,3.36,5.06,0.07,0.06,0.07,0.017,0.09,10.2,13.1,1.06,753,0.42,0.01,0.34,17.6,310,13.0,5.4,<0.001,0.01,0.69,4.4,0.5,0.3,40.4,<0.01,0.10,1.7,0.010,0.04,0.31,37,0.08,7.00,64,1.9,Soil Certificates,TU22075012.csv,
PN0000996413,0.23,0.008,0.10,1.79,16.4,<10,100,0.54,0.21,0.47,0.15,28.7,10.3,18,0.69,40.5,3.25,5.05,0.08,0.08,0.06,0.022,0.15,14.9,14.1,0.98,547,0.54,0.01,0.45,12.8,390,18.4,9.2,<0.001,0.01,0.99,3.8,0.3,0.5,26.2,<0.01,0.06,3.5,0.016,0.08,0.47,29,0.09,9.15,61,2.9,Soil Certificates,TU22075012.csv,
PN0000996414,0.21,0.012,0.12,3.28,17.4,<10,80,0.39,0.11,0.45,0.10,17.70,20.3,18,0.48,149.0,5.57,7.44,0.09,0.08,0.10,0.022,0.08,8.9,30.6,2.48,850,0.35,0.01,0.33,13.1,350,9.2,5.0,<0.001,0.01,0.72,8.8,0.4,0.3,24.0,<0.01,0.04,2.1,0.012,0.04,0.26,67,0.06,6.92,89,3.0,Soil Certificates,TU22075012.csv,
PN0000996415,0.20,0.012,0.14,1.61,16.4,<10,60,0.41,0.13,5.23,0.14,17.65,10.5,16,0.58,56.9,2.63,3.93,0.05,0.06,0.11,0.016,0.09,8.7,12.5,0.82,526,0.41,0.01,0.40,11.5,250,12.5,5.4,<0.001,0.01,0.99,2.8,0.4,0.3,39.7,<0.01,0.07,1.4,0.007,0.05,0.26,22,0.08,7.35,50,1.5,Soil Certificates,TU22075012.csv,
PN0000996416,0.20,0.003,0.02,2.78,6.1,<10,200,0.52,0.01,10.90,0.05,6.94,34.0,797,1.13,88.7,4.95,9.05,0.14,<0.02,0.03,0.034,0.19,3.1,28.2,4.88,593,0.07,0.01,<0.05,318,280,0.9,10.4,<0.001,0.01,0.37,17.0,0.4,<0.2,231,<0.01,0.04,0.4,0.041,0.07,0.13,133,<0.05,3.68,41,<0.5,Soil Certificates,TU22075012.csv,
PN0000996417,0.24,0.003,0.04,1.91,7.1,<10,340,0.28,0.01,15.15,0.34,6.11,25.9,473,1.33,44.0,4.01,6.06,0.09,<0.02,0.04,0.050,0.20,4.5,15.7,2.50,1480,0.16,0.01,0.07,209,260,2.1,4.7,<0.001,<0.01,0.33,17.8,0.4,<0.2,422,<0.01,0.03,0.4,0.027,0.03,0.11,103,<0.05,1.61,41,<0.5,Soil Certificates,TU22075012.csv,
PN0000996418,0.22,0.011,0.05,2.11,59.6,10,420,0.54,0.06,9.23,0.10,13.85,37.3,659,1.14,65.3,4.52,8.00,0.09,0.03,0.03,0.036,0.23,6.6,18.6,3.23,585,0.41,0.02,0.45,365,400,3.3,10.7,<0.001,0.02,8.03,11.6,0.4,0.4,281,<0.01,0.05,0.7,0.022,0.07,1.11,121,<0.05,5.89,60,0.9,Soil Certificates,TU22075012.csv,
PN0000996419,0.22,0.018,0.07,1.52,244,10,90,0.47,0.17,6.93,0.18,19.75,40.5,231,1.22,62.0,4.44,4.58,0.08,0.04,0.04,0.031,0.18,9.3,16.7,1.95,789,0.52,0.01,0.51,341,530,9.8,12.0,<0.001,0.02,37.4,6.4,0.6,0.4,115.0,<0.01,0.09,1.5,0.021,0.08,0.39,44,0.15,6.21,62,1.1,Soil Certificates,TU22075012.csv,
PN0000996420,0.21,0.005,0.06,2.25,5.8,<10,320,0.45,0.04,10.95,0.10,10.50,27.5,726,1.21,84.9,4.33,7.72,0.10,0.03,0.02,0.033,0.16,5.3,20.1,3.26,936,0.20,0.01,0.23,247,290,2.6,9.0,<0.001,0.02,0.99,8.1,0.5,0.2,340,<0.01,0.04,0.6,0.070,0.04,0.11,109,<0.05,3.97,36,0.5,Soil Certificates,TU22075012.csv,
PN0000996421,0.22,0.006,0.15,2.65,12.0,<10,140,0.61,0.08,12.70,0.37,21.5,32.0,434,1.04,102.0,4.82,8.57,0.11,0.03,0.04,0.042,0.33,12.2,15.2,2.60,1160,0.96,0.01,0.41,258,330,5.6,14.2,<0.001,0.05,0.81,14.8,0.7,0.4,265,<0.01,0.08,1.4,0.110,0.24,0.35,119,<0.05,4.68,64,1.2,Soil Certificates,TU22075012.csv,
PN0000996422,0.22,0.005,0.06,2.14,10.4,<10,180,0.36,0.06,12.75,0.18,15.00,25.1,432,0.97,64.0,3.87,7.24,0.09,0.03,0.02,0.026,0.12,7.6,14.6,2.19,525,0.49,0.01,0.35,210,240,3.1,6.9,<0.001,0.02,1.43,8.2,0.4,0.3,145.0,<0.01,0.09,1.3,0.073,0.09,0.24,91,0.07,4.76,48,1.1,Soil Certificates,TU22075012.csv,
PN0000996423,0.23,0.005,0.07,2.51,76.5,<10,190,0.43,0.08,8.25,0.11,11.30,32.4,624,0.87,96.2,4.92,8.66,0.10,0.02,0.04,0.040,0.26,5.2,18.2,3.22,863,0.24,0.01,0.30,276,530,4.4,14.3,<0.001,0.01,3.23,16.6,0.4,0.5,145.5,<0.01,0.06,1.2,0.049,0.07,0.19,139,0.06,5.33,51,0.8,Soil Certificates,TU22075012.csv,
PN0000996424,0.22,0.012,0.06,2.20,371,10,100,0.43,0.08,8.57,0.09,15.20,38.5,513,0.87,66.0,4.20,7.78,0.09,0.03,0.06,0.031,0.17,7.5,23.2,2.76,644,0.48,0.01,0.32,365,390,5.4,11.0,<0.001,0.02,17.70,10.4,0.5,0.3,155.5,<0.01,0.07,1.2,0.020,0.07,0.37,97,0.10,4.96,56,1.0,Soil Certificates,TU22075012.csv,
PN0000996425,0.21,0.027,0.08,3.36,513,10,150,0.41,0.09,3.56,0.10,8.08,70.9,1190,0.90,74.2,6.97,12.70,0.15,0.03,0.13,0.040,0.11,4.7,45.5,4.79,861,1.35,0.02,0.05,687,380,3.0,5.8,<0.001,0.05,18.35,22.1,0.4,<0.2,262,<0.01,0.13,1.1,0.010,0.04,0.67,183,0.19,4.98,71,1.1,Soil Certificates,TU22075012.csv,
PN0000996426,0.23,0.004,0.08,2.15,25.0,10,130,0.50,0.09,6.91,0.16,21.4,24.6,313,1.28,63.9,3.97,6.71,0.09,0.04,0.03,0.027,0.21,9.7,21.0,2.72,614,0.45,0.01,0.24,156.5,380,5.0,13.5,<0.001,0.01,1.54,9.2,0.4,0.3,241,<0.01,0.07,2.1,0.050,0.09,0.25,85,0.08,6.48,55,1.2,Soil Certificates,TU22075012.csv,
PN0000996427,0.24,0.002,0.04,2.93,40.1,<10,120,0.59,0.08,2.49,0.13,24.7,37.1,337,1.12,84.7,5.46,10.00,0.09,0.06,0.04,0.038,0.15,12.1,20.5,2.02,918,0.48,0.01,0.14,183.0,280,4.7,11.1,<0.001,<0.01,1.40,15.2,0.2,0.3,45.7,<0.01,0.06,2.4,0.048,0.09,0.38,148,0.09,9.03,59,1.6,Soil Certificates,TU22075012.csv,
PN0000996428,0.21,0.004,0.07,2.49,45.8,<10,50,0.48,0.06,10.90,0.15,12.35,33.4,403,0.62,78.7,4.74,7.52,0.08,0.05,0.04,0.031,0.10,5.5,16.2,2.97,723,0.54,0.01,0.16,232,510,3.1,6.4,<0.001,0.01,0.70,13.2,0.5,0.2,142.0,<0.01,0.08,1.0,0.018,0.05,0.23,120,0.06,4.74,58,1.1,Soil Certificates,TU22075012.csv,
PN0000996429,0.23,0.003,0.07,2.76,58.6,<10,70,0.55,0.08,6.80,0.15,18.60,36.6,449,0.91,72.7,4.73,8.43,0.09,0.06,0.03,0.036,0.22,8.6,20.6,2.99,720,0.41,0.01,0.22,233,560,4.4,12.2,<0.001,0.01,1.29,14.7,0.4,0.3,135.0,<0.01,0.06,2.0,0.029,0.08,0.28,127,0.05,7.03,65,1.6,Soil Certificates,TU22075012.csv,
PN0000996430,0.23,0.001,0.06,1.95,7.3,<10,410,0.42,0.03,13.85,0.10,16.55,31.8,478,2.35,71.9,4.75,6.63,0.10,0.02,0.01,0.044,0.62,8.7,13.4,2.39,868,0.10,0.01,0.23,244,340,2.8,24.5,<0.001,0.01,0.59,4.6,0.4,0.2,581,<0.01,0.02,0.7,0.091,0.16,0.08,89,<0.05,7.37,44,0.6,Soil Certificates,TU22075012.csv,
PN0000996431,0.22,0.006,0.06,2.14,13.8,<10,200,0.37,0.05,14.15,0.11,17.85,31.6,545,1.23,77.3,3.62,6.25,0.09,0.02,0.03,0.025,0.21,11.8,18.0,2.43,780,0.15,0.01,0.24,294,250,3.6,11.1,<0.001,0.01,0.98,6.2,0.4,0.2,433,<0.01,0.04,0.8,0.083,0.10,0.15,88,0.06,6.41,38,0.7,Soil Certificates,TU22075012.csv,
PN0000996432,0.26,0.003,0.04,2.90,14.2,<10,140,0.46,0.04,9.05,0.11,6.43,42.2,860,1.25,94.0,5.55,8.13,0.14,0.02,0.03,0.036,0.36,2.8,23.7,5.00,999,0.23,<0.01,0.05,402,340,2.7,15.2,<0.001,0.01,1.36,20.8,0.4,0.2,130.5,<0.01,0.04,0.7,0.078,0.16,0.11,135,<0.05,3.90,49,0.6,Soil Certificates,TU22075012.csv,
PN0000996433,0.24,0.001,0.06,2.40,15.4,<10,120,0.48,0.08,7.53,0.11,17.40,27.2,497,1.03,63.0,4.10,6.88,0.08,0.04,0.03,0.029,0.21,8.4,17.4,2.49,627,0.35,0.01,0.21,214,220,4.3,12.3,<0.001,0.01,0.95,11.0,0.4,0.3,102.0,<0.01,0.05,2.0,0.053,0.09,0.22,100,0.08,6.36,46,1.3,Soil Certificates,TU22075012.csv,
PN0000996434,0.23,0.004,0.09,1.90,22.2,<10,130,0.46,0.14,9.28,0.11,20.6,19.8,328,2.01,52.1,3.73,5.73,0.08,0.03,0.05,0.020,0.28,9.9,23.3,1.84,493,0.33,0.01,0.31,143.5,350,4.3,17.5,<0.001,0.02,1.03,7.1,0.4,0.3,166.0,<0.01,0.05,2.2,0.049,0.09,0.35,78,0.31,6.45,47,1.0,Soil Certificates,TU22075012.csv,
PN0000996435,0.21,0.005,0.07,2.30,3.1,<10,100,0.33,0.02,14.45,0.16,17.00,30.8,644,0.31,86.5,3.22,6.22,0.09,0.02,0.05,0.019,0.10,11.3,15.8,2.91,705,0.12,0.01,0.22,320,310,2.4,3.1,<0.001,0.01,0.99,3.3,0.5,<0.2,304,<0.01,0.03,0.6,0.054,0.05,0.07,68,<0.05,3.52,33,0.5,Soil Certificates,TU22075012.csv,
PN0000996436,0.26,0.011,0.43,2.60,21.0,<10,200,0.72,0.18,1.93,0.35,30.7,22.5,221,1.21,74.0,5.45,9.05,0.11,0.08,0.08,0.043,0.46,13.7,18.7,1.77,936,2.08,0.03,0.38,117.5,510,14.3,17.5,0.001,0.34,1.04,12.0,1.2,0.6,54.1,<0.01,0.09,3.6,0.056,0.22,0.71,106,0.06,7.69,80,4.0,Soil Certificates,TU22075012.csv,
PN0000996437,0.19,0.003,0.06,2.05,18.2,10,250,0.34,0.03,14.00,0.08,8.03,26.4,567,0.69,54.1,3.63,6.36,0.09,0.03,0.05,0.024,0.10,3.6,22.5,4.15,370,0.20,0.02,0.13,264,330,1.9,4.7,<0.001,0.03,1.32,8.2,0.5,<0.2,615,<0.01,0.24,0.5,0.020,0.03,0.20,87,<0.05,3.06,37,0.8,Soil Certificates,TU22075012.csv,
PN0000996438,0.22,0.014,0.09,1.97,155.0,10,130,0.56,0.24,2.71,0.20,24.9,34.2,318,1.55,66.8,4.25,5.52,0.08,0.05,0.06,0.036,0.24,11.3,23.5,1.98,739,0.46,0.01,0.55,305,500,13.3,15.7,<0.001,0.02,28.0,7.7,0.4,0.5,58.6,<0.01,0.07,2.1,0.027,0.11,0.38,60,0.12,6.79,71,1.4,Soil Certificates,TU22075012.csv,
PN0000996439,0.23,0.006,0.03,2.20,10.0,<10,740,0.70,0.01,16.70,0.06,29.5,31.0,492,1.88,50.4,4.00,6.67,0.13,<0.02,0.02,0.027,0.34,20.2,21.9,2.93,903,0.07,<0.01,0.22,261,210,1.3,18.0,<0.001,0.01,1.95,4.3,0.4,<0.2,585,<0.01,0.05,0.7,0.126,0.13,0.07,94,<0.05,5.22,32,<0.5,Soil Certificates,TU22075012.csv,
PN0000996440,0.23,0.003,0.06,1.61,13.2,<10,260,0.39,0.04,12.85,0.08,17.90,26.9,552,1.33,66.2,4.28,5.23,0.11,<0.02,0.04,0.034,0.29,9.3,14.4,2.05,802,0.13,0.01,0.16,233,330,3.1,10.3,<0.001,0.01,1.42,15.3,0.6,0.2,307,<0.01,0.02,1.0,0.041,0.05,0.11,100,<0.05,4.87,36,0.5,Soil Certificates,TU22075012.csv,
PN0000996441,0.24,0.001,0.05,1.95,6.4,<10,260,0.30,0.02,16.30,0.18,18.00,36.8,512,1.78,75.9,3.87,5.68,0.10,<0.02,0.05,0.036,0.23,9.9,18.2,4.14,1150,0.12,0.02,0.09,322,270,1.7,9.5,<0.001,0.01,0.82,7.4,0.4,<0.2,472,<0.01,0.08,0.4,0.100,0.14,0.14,88,<0.05,3.33,33,<0.5,Soil Certificates,TU22075012.csv,
PN0000996442,0.17,0.009,0.05,1.02,14.4,<10,40,0.25,0.07,8.78,0.10,11.10,18.9,27,0.68,54.5,3.34,2.27,0.05,0.02,0.05,0.014,0.07,5.1,8.1,1.20,581,0.26,0.01,0.17,30.8,480,3.9,4.8,<0.001,0.02,1.15,3.5,0.7,0.2,79.7,<0.01,0.09,0.4,0.007,0.03,0.29,32,0.06,3.78,54,0.7,Soil Certificates,TU22075012.csv,
PN0000996443,0.18,0.021,0.10,2.33,137.0,<10,90,0.90,0.22,0.50,0.29,34.7,35.7,256,1.91,76.8,4.86,8.33,0.11,0.07,0.06,0.044,0.18,15.6,31.9,1.62,1095,0.70,0.01,0.34,189.5,400,15.5,16.3,<0.001,0.02,6.53,12.4,0.6,0.5,40.1,<0.01,0.09,3.2,0.019,0.11,0.47,71,0.16,9.85,78,2.1,Soil Certificates,TU22075012.csv,
PN0000996444,0.20,0.025,0.10,1.56,36.3,<10,80,0.48,0.15,0.41,0.07,26.2,10.3,32,0.74,36.9,3.31,3.88,0.07,0.05,0.05,0.022,0.09,14.6,12.1,0.65,479,0.53,0.01,0.18,19.9,180,7.9,5.8,<0.001,<0.01,1.78,4.2,0.3,0.4,23.2,<0.01,0.05,3.6,0.012,0.05,0.43,30,0.08,10.05,49,1.6,Soil Certificates,TU22075012.csv,
PN0000996445,0.21,0.003,0.03,1.75,6.5,<10,660,0.41,0.01,14.45,0.06,16.15,29.7,592,11.00,58.9,4.59,5.57,0.13,<0.02,0.02,0.036,0.38,8.4,11.8,2.70,736,0.07,0.01,0.11,286,300,1.9,12.2,<0.001,0.01,0.53,16.5,0.3,0.4,423,<0.01,0.02,0.5,0.031,0.07,0.07,107,<0.05,7.47,36,<0.5,Soil Certificates,TU22075012.csv,
PN0000996446,0.20,0.002,0.13,2.26,15.4,<10,230,0.54,0.20,9.41,0.28,26.5,28.2,493,2.40,89.1,4.14,7.00,0.09,0.03,0.05,0.042,0.38,14.3,15.9,2.42,1040,0.22,0.01,0.32,265,400,10.8,22.9,<0.001,0.02,5.24,4.8,0.5,0.4,277,<0.01,0.07,1.5,0.090,0.17,0.19,94,0.06,7.63,50,1.0,Soil Certificates,TU22075012.csv,
PN0000996447,0.21,0.004,0.03,2.49,46.6,<10,210,0.52,0.05,8.15,0.08,21.8,32.1,718,0.82,68.8,4.48,7.80,0.10,0.04,0.02,0.036,0.10,9.9,22.8,4.69,685,0.29,0.01,0.08,327,410,2.9,6.9,<0.001,0.01,3.10,14.9,0.2,0.3,231,<0.01,0.13,1.4,0.018,0.05,0.57,129,<0.05,6.12,51,1.2,Soil Certificates,TU22075012.csv,
PN0000996448,0.23,0.020,0.07,2.23,21.4,<10,240,0.43,0.08,10.60,0.16,21.7,29.8,579,1.15,73.5,3.84,6.72,0.10,0.03,0.03,0.028,0.18,12.4,20.1,2.93,967,0.21,0.01,0.27,293,390,5.3,11.5,<0.001,0.01,1.87,5.2,0.4,0.3,274,<0.01,0.06,0.9,0.060,0.09,0.19,81,0.06,6.23,45,0.7,Soil Certificates,TU22075012.csv,
PN0000996449,0.20,0.003,0.07,2.28,21.1,<10,240,0.42,0.08,11.05,0.16,22.0,29.4,586,1.21,71.7,3.92,6.65,0.09,0.02,0.03,0.028,0.18,12.6,19.6,2.95,1010,0.21,0.01,0.29,297,390,5.3,11.8,<0.001,0.01,1.81,5.3,0.4,0.3,300,<0.01,0.06,1.0,0.069,0.09,0.19,84,0.05,6.44,46,0.7,Soil Certificates,TU22075012.csv,
PN0000996450,0.23,0.009,0.12,2.18,5.5,<10,230,0.40,0.06,13.05,0.13,17.20,28.8,504,1.32,75.2,3.59,6.32,0.08,0.03,0.05,0.023,0.18,9.0,17.4,2.51,649,0.22,0.01,0.34,279,310,4.1,10.1,<0.001,0.02,2.40,4.2,0.5,0.2,332,<0.01,0.05,1.0,0.083,0.11,0.19,73,0.06,4.90,41,0.8,Soil Certificates,TU22075012.csv,
PN0000996451,0.17,0.006,0.23,2.44,10.9,<10,110,0.44,0.15,8.42,0.25,24.1,27.9,460,1.61,80.0,3.64,6.90,0.08,0.03,0.07,0.031,0.15,17.1,17.0,2.51,693,0.46,<0.01,0.47,217,370,9.0,11.8,<0.001,0.01,2.69,6.4,0.4,0.4,184.5,<0.01,0.04,1.8,0.072,0.10,0.27,82,0.16,8.01,53,1.0,Soil Certificates,TU22074970.csv,
PN0000996452,0.18,0.018,0.25,2.64,11.5,10,110,0.47,0.13,7.79,0.24,24.3,30.3,500,1.70,84.3,3.85,7.33,0.09,0.03,0.08,0.032,0.15,17.0,17.7,2.65,711,0.41,<0.01,0.52,235,360,7.8,12.1,<0.001,0.01,2.84,6.6,0.5,0.4,162.0,<0.01,0.04,1.7,0.076,0.11,0.26,85,0.15,8.36,54,1.1,Soil Certificates,TU22074970.csv,
PN0000996453,0.23,0.004,0.11,1.68,21.1,<10,180,0.35,0.18,6.99,0.06,20.9,15.1,241,3.10,46.6,3.17,5.14,0.06,0.03,0.03,0.017,0.24,10.8,22.8,1.69,386,0.27,0.01,0.28,102.0,360,4.5,18.1,<0.001,0.01,1.15,4.0,0.3,0.3,228,<0.01,0.02,2.4,0.051,0.11,0.31,64,0.34,5.83,47,0.8,Soil Certificates,TU22074970.csv,
PN0000996454,0.24,0.003,0.11,1.76,22.8,<10,190,0.40,0.18,6.97,0.06,22.4,15.8,247,3.20,48.4,3.27,5.57,0.06,0.02,0.03,0.018,0.25,11.8,24.6,1.73,391,0.27,0.01,0.32,106.0,360,4.6,19.2,<0.001,0.01,1.17,4.3,0.2,0.3,229,<0.01,0.03,2.6,0.060,0.12,0.32,66,0.30,6.22,48,0.8,Soil Certificates,TU22074970.csv,
PN0000996455,0.22,0.002,0.11,1.78,21.2,<10,180,0.41,0.18,6.50,0.07,23.6,16.0,251,3.27,49.1,3.27,5.63,0.07,0.02,0.02,0.019,0.25,12.0,24.5,1.72,401,0.27,0.01,0.31,110.0,370,5.3,19.5,<0.001,0.01,1.18,4.5,0.3,0.3,217,<0.01,0.03,2.7,0.062,0.12,0.34,66,0.27,6.45,48,0.8,Soil Certificates,TU22074970.csv,
PN0000996456,0.22,0.002,0.12,1.82,20.7,<10,180,0.42,0.19,6.34,0.08,24.7,16.6,261,3.30,50.2,3.34,5.76,0.07,0.02,0.03,0.021,0.26,12.6,25.0,1.74,415,0.29,0.01,0.31,114.5,400,6.3,19.9,<0.001,0.01,1.15,4.8,0.2,0.3,207,<0.01,0.04,2.9,0.069,0.12,0.34,68,0.27,6.62,49,0.9,Soil Certificates,TU22074970.csv,
PN0000996457,0.22,0.004,0.09,2.09,6.7,<10,210,0.43,0.10,11.65,0.13,13.75,20.4,606,0.65,104.0,3.31,6.82,0.05,0.02,0.07,0.035,0.11,7.2,16.6,2.39,555,0.17,0.01,0.16,152.5,340,5.3,7.8,<0.001,0.01,0.99,14.5,0.4,0.4,195.0,<0.01,0.03,1.2,0.028,0.05,0.14,101,0.05,6.45,36,0.8,Soil Certificates,TU22074970.csv,
PN0000996458,0.20,0.005,0.03,2.52,5.0,<10,170,0.35,0.02,12.15,0.04,4.72,36.3,793,0.42,76.3,4.52,8.82,0.07,0.02,0.03,0.026,0.04,2.1,18.3,3.61,388,0.11,<0.01,<0.05,375,230,1.3,3.0,<0.001,0.01,0.49,13.2,0.4,<0.2,266,<0.01,0.01,0.5,0.014,0.02,0.13,127,<0.05,2.87,46,0.6,Soil Certificates,TU22074970.csv,
PN0000996459,0.23,0.004,0.03,2.46,4.6,<10,170,0.35,0.02,11.95,0.04,4.47,35.8,773,0.41,76.2,4.39,8.71,0.07,0.02,0.03,0.026,0.04,2.0,17.3,3.53,380,0.08,<0.01,<0.05,365,230,1.1,3.0,<0.001,0.01,0.48,12.8,0.3,<0.2,267,<0.01,0.01,0.4,0.013,0.02,0.13,124,<0.05,2.78,43,0.5,Soil Certificates,TU22074970.csv,
PN0000996460,0.19,0.005,0.03,2.69,5.0,<10,180,0.36,0.02,13.05,0.04,5.00,38.5,829,0.45,80.9,4.76,9.44,0.08,0.02,0.03,0.028,0.04,2.5,19.4,3.83,390,0.09,0.01,<0.05,401,240,1.2,3.3,<0.001,0.01,0.51,14.1,0.4,<0.2,291,<0.01,0.01,0.5,0.015,0.03,0.14,135,<0.05,3.00,47,0.6,Soil Certificates,TU22074970.csv,
PN0000996461,0.21,0.006,0.05,2.38,93.3,<10,170,0.36,0.05,11.00,0.08,15.55,33.2,639,1.26,65.0,4.36,8.24,0.08,0.03,0.03,0.029,0.08,7.9,19.4,3.22,632,0.24,0.01,0.12,331,270,3.1,7.6,<0.001,0.01,5.88,12.0,0.3,0.3,250,<0.01,0.01,1.2,0.045,0.07,0.23,103,0.05,5.70,46,0.8,Soil Certificates,TU22074970.csv,
PN0000996462,0.22,0.007,0.05,2.43,97.6,<10,170,0.39,0.05,10.15,0.08,15.95,33.6,654,1.27,65.9,4.47,8.65,0.08,0.03,0.03,0.029,0.09,8.2,19.9,3.21,649,0.25,0.01,0.13,338,270,3.3,7.7,<0.001,0.01,6.47,12.4,0.3,0.3,239,<0.01,0.02,1.3,0.045,0.08,0.23,106,0.05,5.84,48,0.8,Soil Certificates,TU22074970.csv,
PN0000996463,0.26,0.004,0.03,2.42,16.4,<10,400,0.53,0.01,14.35,0.08,19.50,26.5,670,1.12,113.5,4.26,9.29,0.09,<0.02,0.03,0.037,0.10,9.3,14.9,3.06,696,0.11,0.01,0.06,224,210,1.5,5.3,<0.001,<0.01,3.09,15.3,0.4,0.4,355,<0.01,0.01,0.5,0.030,0.06,0.08,138,<0.05,6.08,36,<0.5,Soil Certificates,TU22074970.csv,
PN0000996464,0.22,0.005,0.04,2.29,15.4,<10,400,0.65,0.02,13.45,0.09,19.95,30.6,623,1.30,125.0,4.12,9.45,0.09,<0.02,0.04,0.042,0.10,9.3,15.6,2.95,675,0.11,0.01,0.08,222,210,1.9,5.8,<0.001,<0.01,3.98,17.4,0.2,0.4,351,<0.01,0.02,0.5,0.026,0.07,0.08,136,<0.05,6.07,36,<0.5,Soil Certificates,TU22074970.csv,
PN0000996465,0.20,0.015,0.09,1.78,44.3,<10,70,0.36,0.10,1.24,0.09,22.5,12.8,28,0.63,62.0,3.09,3.97,<0.05,0.05,0.10,0.017,0.09,11.8,17.2,1.16,552,0.41,0.01,0.23,24.2,250,6.4,5.7,<0.001,0.02,1.62,3.8,0.5,0.2,34.4,0.01,0.03,1.5,0.006,0.05,0.28,25,0.07,9.31,45,1.8,Soil Certificates,TU22074970.csv,
PN0000996466,0.23,0.009,0.09,1.54,81.5,<10,90,0.51,0.16,0.62,0.11,22.2,12.2,18,1.20,59.8,3.48,4.02,<0.05,0.05,0.06,0.020,0.10,11.4,15.0,0.87,756,0.49,0.01,0.27,14.8,260,9.3,7.9,<0.001,0.01,2.82,4.1,0.3,0.3,29.4,<0.01,0.04,2.0,0.010,0.07,0.34,30,0.20,8.83,58,1.7,Soil Certificates,TU22074970.csv,
